,Population,Region,Region2,WolfID,WolfID_2,unpublished.vs.published,Estimation_Method,Date_median,Date_lowerrange,Date_upperrange,Lat,Lat,Long,DOY,originalDOY,originalMatingDate,Annual_Mean_Temperature_bio1,Mean_Diurnal_Range_BIO2,Temperature_Annual_Range_BIO7,Mean_Temperature_of_Wettest_Quarter_BIO8,Mean_Temperature_of_Driest_Quarter_bio9,Mean_Temperature_of_Warmest_Quarter_BIO10,Mean_Temperature_of_Coldest_Quarter_bio11,Annual_Precipitation,Precipitation_Seasonality,day_change_rate_mating,originalMatingDate_5days_before,originalMatingDate_5days_after,daylength_5_days_before,daylength_5_days_after,mating_daylength_change,PC1,PC2,daylength_original_matingdate,mean_ndvi,sd_ndvi
12,Indian,Indian,Indian,Mihir-5,,unpublished,Cameratrap,2/14/20,,,18.361,18,74.098,104,44,346,24.47083282,13.5583334,25.10000038,23.78333282,23.54999924,28.18333435,21.36666679,553,91.35418701,0.041277535,341,351,10.93138601,10.89943942,-0.031946588,-5.187180147,-1.915802141,10.91091599,0.317530435,0.135610936
13,Indian,Indian,Indian,Mihir-5,,unpublished,Cameratrap,1/1/21,,,18.361,18,74.098,61,1,301,24.47083282,13.5583334,25.10000038,23.78333282,23.54999924,28.18333435,21.36666679,553,91.35418701,0.111008048,296,306,11.44015647,11.2882031,-0.151953376,-5.187180147,-1.915802141,11.3622816,0.317530435,0.135610936
17,Indian,Indian,Indian,Mihir-8,,unpublished,Cameratrap,12/16/18,,,18.384,18,74.303,47,-13,285,25.15416718,13.50833321,24.89999962,24.66666603,24.18333435,28.86666679,21.98333359,462,89.71849823,0.119162659,280,290,11.70757362,11.53713516,-0.170438464,-5.3705747,-1.925714079,11.62136966,0.310908696,0.121662655
19,Indian,Indian,Indian,Mihir-8,,unpublished,Cameratrap,1/7/21,,,18.384,18,74.303,67,7,307,25.15416718,13.50833321,24.89999962,24.66666603,24.18333435,28.86666679,21.98333359,462,89.71849823,0.106241362,302,312,11.34626308,11.20416106,-0.142102012,-5.3705747,-1.925714079,11.27292133,0.310908696,0.121662655
1,Indian,Indian,Indian,Mihir-1,,unpublished,Cameratrap,2/2/13,,,18.395,18,73.983,93,33,333,23.63749886,13.02499962,24.40000153,22.88333321,22.73333359,27.31666565,20.66666603,783,106.0539093,0.067295471,328,338,11.02217949,10.94575806,-0.076421429,-5.094585969,-2.109733233,10.97998792,0.276604348,0.135539506
2,Indian,Indian,Indian,Mihir-1,,unpublished,Cameratrap,2/5/14,,,18.395,18,73.983,95,35,336,23.63749886,13.02499962,24.40000153,22.88333321,22.73333359,27.31666565,20.66666603,783,106.0539093,0.062970635,331,341,10.99593975,10.92925054,-0.066689211,-5.094585969,-2.109733233,10.95846098,0.276604348,0.135539506
3,Indian,Indian,Indian,Mihir-2,,unpublished,Cameratrap,1/2/16,,,18.418,18,74.142,61,1,302,24.66250038,13.39166641,24.89999962,24.08333397,23.60000038,28.31666565,21.5,509,89.59048462,0.111382187,297,307,11.4223878,11.27147505,-0.15091275,-5.196222093,-1.916176009,11.34496344,0.319973913,0.142769233
4,Indian,Indian,Indian,Mihir-2,,unpublished,Cameratrap,1/18/17,,,18.418,18,74.142,78,18,318,24.66250038,13.39166641,24.89999962,24.08333397,23.60000038,28.31666565,21.5,509,89.59048462,0.09373478,313,323,11.18940762,11.07050666,-0.118900954,-5.196222093,-1.916176009,11.12691257,0.319973913,0.142769233
22,Indian,Indian,Indian,Mihir-10,,unpublished,Cameratrap,12/20/20,,,18.428,18,74.237,51,-9,289,24.68333435,13.36666679,24.69999886,24.04999924,23.68333435,28.38333321,21.56666565,482,88.4365387,0.11789121,284,294,11.63754065,11.47016238,-0.167378271,-5.17572208,-1.913029097,11.55265306,0.337526087,0.153462134
23,Indian,Indian,Indian,Mihir-10,,unpublished,Cameratrap,12/4/21,,,18.428,18,74.237,35,-25,273,24.68333435,13.36666679,24.69999886,24.04999924,23.68333435,28.38333321,21.56666565,482,88.4365387,0.121133084,268,278,11.91938464,11.74183338,-0.177551262,-5.17572208,-1.913029097,11.8301947,0.337526087,0.153462134
27,Indian,Indian,Indian,Mihir-13,,unpublished,Cameratrap,1/15/13,,,18.591,18,74.086,75,15,315,25.16250038,13.64166641,25.5,24.95000076,23.64999962,28.96666718,21.70000076,513,91.06485748,0.098726147,310,320,11.22174719,11.09450058,-0.127246606,-5.308348582,-2.020386911,11.15525626,0.302321739,0.128602767
16,Indian,Indian,Indian,Mihir-7,,unpublished,Cameratrap,4/1/16,,,18.747,18,74.034,152,92,27,24.76250076,13.79166698,26,24.48333359,23.28333282,28.61666679,21.26666641,509,90.58088684,-0.082267608,22,32,11.05802769,11.18047536,0.122447667,-5.036516653,-2.107105032,11.1161836,0.364817391,0.179330438
28,Indian,Indian,Indian,Mihir-14,,unpublished,Cameratrap,12/13/21,,,18.888,18,74.506,44,-16,282,25.07083321,13.90833282,26.19999886,24.70000076,23.78333282,29.16666603,21.35000038,475,94.11345673,0.123389562,277,287,11.75295757,11.57523587,-0.177721706,-5.16520903,-2.182927922,11.66323933,0.333221739,0.162075858
