Annual_Mean_Temperature_bio1,Mean_Diurnal_Range_BIO2,Temperature_Annual_Range_BIO7,Mean_Temperature_of_Wettest_Quarter_BIO8,Mean_Temperature_of_Driest_Quarter_bio9,Mean_Temperature_of_Warmest_Quarter_BIO10,Mean_Temperature_of_Coldest_Quarter_bio11,Annual_Precipitation,Precipitation_Seasonality,daylength_original_matingdate,mean_ndvi,sd_ndvi
24.66250038,13.39166641,24.89999962,24.08333397,23.60000038,28.31666565,21.5,509,89.59048462,11.12691257,0.319973913,0.142769233
24.68333435,13.36666679,24.69999886,24.04999924,23.68333435,28.38333321,21.56666565,482,88.4365387,11.55265306,0.337526087,0.153462134
24.68333435,13.36666679,24.69999886,24.04999924,23.68333435,28.38333321,21.56666565,482,88.4365387,11.8301947,0.337526087,0.153462134
25.16250038,13.64166641,25.5,24.95000076,23.64999962,28.96666718,21.70000076,513,91.06485748,11.15525626,0.302321739,0.128602767
24.76250076,13.79166698,26,24.48333359,23.28333282,28.61666679,21.26666641,509,90.58088684,11.1161836,0.364817391,0.179330438
25.07083321,13.90833282,26.19999886,24.70000076,23.78333282,29.16666603,21.35000038,475,94.11345673,11.66323933,0.333221739,0.162075858
24.42916679,14.02499962,26.50000191,24.01666641,23.09999847,28.55000114,20.71666718,472,91.62480164,11.62479974,0.329752174,0.133400446
25.20000076,13.80000019,26.69999886,24.96666718,23.61666679,29.56666565,21.23333359,494,100.1924744,11.51451813,0.387421739,0.169361069
18.34583282,12.07499981,25.09999847,18.11666679,12,24.43333244,12,234,48.62503052,11.10131362,0.40203913,0.052612164
27.57500076,14.09999943,29.39999962,28.81666565,21.91666794,32.26666641,21.91666794,557,142.0054474,11.25904713,0.3998,0.184908744
27.35416794,14.92500019,30.60000038,29.30000114,26.71666718,32.09999847,20.91666603,246,159.9756622,11.1839628,0.27456087,0.144894014
25.59583282,14.04166603,34.70000076,25.71666718,34.51666641,34.51666641,15.53333378,153,104.3890305,10.54946583,0.052295652,0.005632977
22.82916641,12.45833302,32.5,13.0666666,29.95000076,32.03333282,13.0666666,255,124.3176956,10.32626775,0.153730435,0.051156288
20.59583282,14.79166698,37.10000229,15.1833334,30.16666603,30.43333435,9.666666985,68,72.17403412,10.6939215,0.101730435,0.003534175
22.63750076,15.02499962,39,10.86666679,33.3666687,33.3666687,10.86666679,361,106.3871918,10.71896407,0.1461,0.046145373
0.783333302,14.03333378,37.40000153,10.96666718,-4.216666698,11.46666718,-9.866666794,144,48.98101044,11.65479587,0.057986957,0.007125901
13.17916679,15.32499981,41.90000153,2.566666603,24.41666603,24.89999962,1.266666651,276,82.93465424,11.71552698,0.188313043,0.082012046
11.11250019,13.09166718,38.40000153,5.100000381,21.81666756,22.39999962,-0.383333355,147,77.2433548,11.22725057,0.33263913,0.100939837
19.14166641,16.13333321,40.09999847,9.383333206,29.68333435,30.28333282,8.216666222,462,87.14893341,11.43357401,0.29783913,0.052762674
18.15833282,15.71666622,39.60000229,8.416666985,28.68333435,29.21666718,7.366666794,464,86.54164124,11.50342795,0.22073913,0.086350121
17.20000076,16.11666679,39.79999924,7.566666603,27.70000076,28.21666718,6.616666794,451,85.29291534,11.5378176,0.214956522,0.026647869
-7.633333206,11.51666641,37.5,3.900000095,-18.61666679,3.916666746,-19.25,119,87.03020477,10.43930556,0.034134783,0.07714003
-6.779166698,10.70833302,37.70000076,5,-18.10000038,5.066666603,-19,111,75.8133316,11.92680551,0.080017391,0.175863492
10.9958334,15.40833378,40.40000153,9.100000381,21.78333282,22.35000038,-0.349999994,288,74.91085815,11.7027729,0.167530435,0.052019292
14.3125,13.14166641,37,4.283333302,24.20000076,25.28333282,2.883333445,260,88.1416626,11.35962671,0.118582609,0.019728859
13.72500038,13.14999962,36.70000076,3.800000191,23.56666756,24.58333397,2.466666698,262,86.56666565,10.11959427,0.137813043,0.027005122
18.21666718,12.98333359,38.10000229,7.983333111,28.39999962,29.70000076,6.099999905,202,95.84545898,9.738814094,0.0783,0.007927455
9.879166603,15.45833302,42.29999924,3.183333397,21.26666641,21.79999924,-2.283333302,333,74.2771759,12.19051222,0.121108696,0.043649596
9.458333015,13.80000019,39.09999847,7.783333302,20.29999924,20.85000038,-2.216666698,285,74.12442017,9.782980605,0.176473913,0.092625822
12.02499962,13.6833334,36.90000153,5.900000095,22.03333282,22.75,1.416666508,293,78.17642975,11.60683046,0.136808696,0.043081434
11.57083321,13.40833378,36.90000153,5.416666508,21.63333321,22.28333282,0.949999988,304,77.2048111,12.58848957,0.149121739,0.033675186
10.67083359,14.49166679,39.39999771,8.783332825,21.23333359,21.73333359,-0.650000036,304,70.17770386,10.95627003,0.126934783,0.045787063
16.30833435,7.733333111,27,13.11666679,22.73333359,25.20000076,7.699999809,894,58.73473358,10.03119092,0.731795652,0.131161904
11.16250038,13.79166698,37,8.916666985,21.10000038,21.70000076,0.700000048,297,67.9359436,11.01817181,0.131882609,0.049862016
14.38333321,12.61666679,36,8.666666985,24.58333397,25.16666794,2.916666746,252,71.47685242,9.50204105,0.109295652,0.006257975
13.0583334,12.64999962,38.70000076,11.73333359,24.38333321,24.86666679,1.150000095,367,72.68490601,11.31561149,0.218226087,0.077920934
10.45416641,12.34166718,37.59999847,9.050000191,21.41666603,21.70000076,-1.166666627,337,65.3781662,12.61802213,0.156134783,0.075052222
8.375,12.16666698,35.59999847,7.616666317,17.58333397,17.63333321,-2.066666842,354,45.99734497,10.04464242,0.3715,0.18594002
9.216666222,11.71666622,38.40000153,8,20.56666565,20.66666603,-2.850000143,378,51.81171799,12.3009276,0.163286957,0.056617138
12.2458334,8.641666412,21.29999924,6.966666698,17.98333359,18.03333282,6.966666698,1586,49.99842453,11.85515653,0.726313043,0.099243641
12.2458334,8.641666412,21.29999924,6.966666698,17.98333359,18.03333282,6.966666698,1586,49.99842453,12.14484347,0.726313043,0.099243641
12.2458334,8.641666412,21.29999924,6.966666698,17.98333359,18.03333282,6.966666698,1586,49.99842453,12.09657498,0.726313043,0.099243641
12.32916641,8.525000572,20.19999886,7.366666794,17.73333359,17.95000076,7.366666794,1805,48.11662674,11.55621184,0.789708696,0.06943818
11.04583359,9.241666794,21.29999924,6.916666508,16.56666565,16.88333321,6.166666508,1662,44.58768845,11.40021639,0.797517391,0.054116521
7.345833302,7.941666603,23.5,1.966666698,14.63333321,14.63333321,0.99999994,1041,28.66612244,11.44793448,0.522117391,0.261301462
11.8791666,9.475000381,21.10000038,7.883333206,17.13333321,17.46666718,7.116666794,1514,43.90480042,11.79870155,0.65096087,0.110258666
9.045833588,8.791666985,23.09999847,4.016666412,15.73333359,15.86666679,3.183333397,1125,27.97829247,11.39740615,0.675621739,0.133489308
9.949999809,9.050000191,22.89999962,5,16.38333321,16.51666641,4.199999809,1049,27.54590225,11.14911284,0.711026087,0.144585889
8.191666603,8.449999809,22.79999924,3.216666698,15,15.14999962,2.383333445,1208,27.22083473,11.69732624,0.672095652,0.085900897
10.20416641,8.774999619,22.10000038,5.349999905,16.5,16.61666679,4.599999905,1032,25.53784943,11.79811377,0.733091304,0.141355438
9.295833588,8.691666603,22.69999886,4.299999714,15.89999962,16.01666641,3.5,1109,25.58757019,12.30272025,0.772113043,0.111625976
7.279166698,8.375,23.10000038,2.266666651,14.25,14.41666603,1.366666675,1295,29.73405838,12.0505204,0.47246087,0.153705651
8.774999619,8.783333778,22.5,3.933333397,15.33333302,15.48333359,3.099999905,1254,30.63852882,12.15170694,0.671856522,0.114193376
9.708333015,9.199999809,22.40000153,5,15.9333334,16.06666756,4.216666698,1273,34.94258881,12.05060882,0.66253913,0.049407616
9.379166603,8.991666794,22.39999962,4.583333492,15.75,15.91666698,3.799999952,1212,29.89209747,11.44502528,0.639747826,0.099084821
12.15416622,8.808333397,20,10.25,17.35000038,17.68333244,7.449999809,928,24.10725403,11.44502528,0.700252174,0.07550567
10.97500038,9.399999619,21.60000038,6.683333397,16.56666565,16.79999924,5.949999809,1329,39.5840416,11.29505874,0.768256522,0.042608288
10,8.866666794,21.79999924,5.333333492,16.10000038,16.28333282,4.566666603,1118,27.37507057,11.84811608,0.685695652,0.075580363
10.9416666,9.583333015,21.89999962,8.633333206,16.73333359,16.88333321,5.716666698,1210,38.05062103,12,0.606717391,0.12903182
10.14583302,9.408333778,22.10000038,7.833333492,16.11666679,16.26666641,4.866666794,1273,36.01517868,12.20283003,0.698282609,0.09098171
11.45416641,9.041666985,20.29999924,7.400000095,16.66666603,16.89999962,6.683333397,1273,38.3953743,12.15214975,0.763021739,0.067278816
10.0625,9.108333588,21.39999962,5.766666412,15.80000019,16.03333282,4.983333588,1362,37.29333115,10.9955143,0.749656522,0.075434914
9.904166222,8.908333778,21.60000038,5.483333111,15.85000038,16.06666756,4.716666698,1361,36.19827271,11.54386583,0.723673913,0.075781673
11.375,8.666666985,19.70000076,7.483333111,16.46666718,16.76666641,6.766666412,1292,36.79168701,11.84749514,0.747547826,0.065259627
12.48333359,9.116666794,19.70000076,10.66666603,17.38333321,17.63333321,7.916666508,1102,37.60205078,12.20336323,0.768717391,0.072669962
10.70416641,9.041666985,20.80000114,8.633333206,16.23333359,16.45000076,5.816666603,1226,33.36293411,11.74542437,0.5113,0.071045312
9.850000381,8.416666985,19.89999962,5.950000286,15.26666641,15.55000019,5.183333397,1542,36.94478226,11.49135716,0.636013043,0.092327999
3.041666746,12.4333334,46.5,17.23333359,-13.0666666,17.23333359,-13.0666666,698,55.51953506,9.094498887,0.51846087,0.27631638
3.150000095,12.40000057,46.40000153,17.26666641,-12.9333334,17.26666641,-12.9333334,696,55.27701569,9.52704367,0.518886957,0.286081685
3.174999952,12.25,47.40000153,17.66666603,-13.38333321,17.66666603,-13.38333321,672,55.44828796,10.45121839,0.524756522,0.270811719
3.183333158,12,46.59999847,17.58333397,-13,17.58333397,-13,708,54.24411774,9.469648905,0.456969565,0.285413786
3.212500095,11.90833378,46.40000153,17.51666641,-12.96666718,17.51666641,-12.96666718,665,56.16651154,9.224209047,0.54373913,0.284304417
3.212500095,11.90833378,46.40000153,17.51666641,-12.96666718,17.51666641,-12.96666718,665,56.16651154,9.469077166,0.54373913,0.284304417
3.200000048,12,46.40000153,17.45000076,-12.88333321,17.45000076,-12.88333321,679,55.87892914,9.727843024,0.546395652,0.25143533
3.200000048,11.75,46.30000305,17.56666756,-12.9333334,17.56666756,-12.9333334,663,56.13707733,9.418489096,0.590378261,0.228968757
3.191666603,11.89999962,46.5,17.60000038,-12.94999981,17.60000038,-12.94999981,706,54.72024918,9.319679869,0.47976087,0.302483578
6.554166794,7.858333588,28.10000038,15.8166666,-2.049999952,15.8166666,-2.883333206,593,33.32379913,10.18544684,0.637004348,0.221575865
6.554166794,7.858333588,28.10000038,15.8166666,-2.049999952,15.8166666,-2.883333206,593,33.32379913,10.11785412,0.637004348,0.221575865
6.554166794,7.858333588,28.10000038,15.8166666,-2.049999952,15.8166666,-2.883333206,593,33.32379913,10.45828476,0.637004348,0.221575865
6.554166794,7.858333588,28.10000038,15.8166666,-2.049999952,15.8166666,-2.883333206,593,33.32379913,10.38973234,0.637004348,0.221575865
6.554166794,7.858333588,28.10000038,15.8166666,-2.049999952,15.8166666,-2.883333206,593,33.32379913,9.653281128,0.637004348,0.221575865
6.554166794,7.858333588,28.10000038,15.8166666,-2.049999952,15.8166666,-2.883333206,593,33.32379913,10.38973234,0.637004348,0.221575865
6.554166794,7.858333588,28.10000038,15.8166666,-2.049999952,15.8166666,-2.883333206,593,33.32379913,10.52704432,0.637004348,0.221575865
6.554166794,7.858333588,28.10000038,15.8166666,-2.049999952,15.8166666,-2.883333206,593,33.32379913,10.66513617,0.637004348,0.221575865
6.554166794,7.858333588,28.10000038,15.8166666,-2.049999952,15.8166666,-2.883333206,593,33.32379913,10.73444511,0.637004348,0.221575865
6.554166794,7.858333588,28.10000038,15.8166666,-2.049999952,15.8166666,-2.883333206,593,33.32379913,10.94329129,0.637004348,0.221575865
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,11.6435695,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,10.30769689,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,10.10242347,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,8.999568209,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,10.03452926,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,10.17059242,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,9.247253395,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,9.247253395,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,10.44573207,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,9.568293893,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,9.832648214,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,11.07578632,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,10.86442101,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,10.10242347,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,9.438505595,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,10.30769689,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,8.879285415,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,9.76600873,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,9.699724562,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,8.59061362,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,9.310518787,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,8.270945154,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,9.374276672,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,10.23902158,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,10.44573207,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,9.966924852,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,9.310518787,0.419786957,0.300473917
0.98333323,13.08333302,37.09999847,11.6833334,-10.16666698,11.6833334,-10.16666698,561,46.35907364,10.03452926,0.419786957,0.300473917
