"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"16",-5.33904999452829,-1.98480892776658,-0.301298702733441,-0.227220100930762,0.0950662299672285,0.0928248985721557,-0.110319376874672,0.0427633422352772
"17",-5.33904999452829,-1.98480892776658,-0.301298702733441,-0.227220100930762,0.0950662299672285,0.0928248985721557,-0.110319376874672,0.0427633422352772
"18",-5.33904999452829,-1.98480892776658,-0.301298702733441,-0.227220100930762,0.0950662299672285,0.0928248985721557,-0.110319376874672,0.0427633422352772
"19",-5.33904999452829,-1.98480892776658,-0.301298702733441,-0.227220100930762,0.0950662299672285,0.0928248985721557,-0.110319376874672,0.0427633422352772
"20",-5.33904999452829,-1.98480892776658,-0.301298702733441,-0.227220100930762,0.0950662299672285,0.0928248985721557,-0.110319376874672,0.0427633422352772
"21",-5.35253561262846,-1.97498450481535,-0.280509631990517,-0.200169148589516,0.0911740161310578,0.0927153643195466,-0.113449104728116,0.0434232907393697
"22",-5.45543096443695,-1.90525547704998,-0.031920811319145,0.0660794514788325,0.0328168100339511,0.0969719467691694,-0.164010627104288,0.0489219526983021
"23",-5.39886900303481,-2.02646656089864,-0.0306781961377295,-0.0635189388576846,0.0168882675677426,0.111239449967401,-0.159243080325229,0.0452439234019891
"24",-5.39886900303481,-2.02646656089864,-0.0306781961377295,-0.0635189388576846,0.0168882675677426,0.111239449967401,-0.159243080325229,0.0452439234019891
"25",-5.2817623036868,-2.0702022080091,-0.292659248553979,-0.286706776657158,0.101865762176464,0.100508113151258,-0.104867908328867,0.0340289979219125
"26",-5.2817623036868,-2.0702022080091,-0.292659248553979,-0.286706776657158,0.101865762176464,0.100508113151258,-0.104867908328867,0.0340289979219125
"27",-5.18718014723778,-1.91580214129091,-0.151838979670131,-0.101358396774729,0.164773462793276,0.109559943954581,-0.166834927300275,0.0369329596576198
"28",-5.18718014723778,-1.91580214129091,-0.151838979670131,-0.101358396774729,0.164773462793276,0.109559943954581,-0.166834927300275,0.0369329596576198
"29",-5.37057470046734,-1.92571407879176,-0.121888468659908,-0.0359892962860319,0.0470975771936452,0.0946460673889342,-0.149646257486681,0.043976749416902
"30",-5.37057470046734,-1.92571407879176,-0.121888468659908,-0.0359892962860319,0.0470975771936452,0.0946460673889342,-0.149646257486681,0.043976749416902
"31",-5.0945859687331,-2.10973323337885,-0.03978942179644,-0.000563718182969929,0.666666619118343,0.11197982074697,-0.200210500368936,-0.00284332913746557
"32",-5.0945859687331,-2.10973323337885,-0.03978942179644,-0.000563718182969929,0.666666619118343,0.11197982074697,-0.200210500368936,-0.00284332913746557
"33",-5.1962220929979,-1.91617600884334,-0.231252957946523,-0.14796463070947,0.115907860992927,0.102324216242138,-0.149983413638226,0.0341952752027191
