,Population,Region,Region2,Region3,DenID,unpublished.vs.published,unpublished.vs.published2,Estimation_Method,Study,Date_median,Date_lowerrange,Date_upperrange,Lat,Long,Lat_lowerrange,Lat_upperrange,DOY,DOY_lowerrange,DOY_upperrange,Originaldataset
56,Spain,Europe,Iberian,Iberian,Llaneza-21,unpublished,21,GPS,,5/16/14,5/16/14,5/17/14,42.56666667,-8.45,,,197,197,198,yes
,Spain,Europe,Iberian,Iberian,Llaneza-22,unpublished,21,?,,1/4/xx,,,43.33333333,-7.033333333,,,64,,,yes
57,Sweden,Europe,Europe,Europe,Hakan-1,unpublished,21,estimated from movements of GPS collared wolves,,5/5/02,,,60.226,14.041,,,186,,,yes
58,Sweden,Europe,Europe,Europe,Hakan-2,unpublished,21,estimated from movements of GPS collared wolves,,5/12/02,,,61.451,11.354,,,193,,,yes
59,Sweden,Europe,Europe,Europe,Hakan-3,unpublished,21,estimated from movements of GPS collared wolves,,5/13/03,,,61.457,11.496,,,194,,,yes
60,Sweden,Europe,Europe,Europe,Hakan-4,unpublished,21,estimated from movements of GPS collared wolves,,5/5/03,,,59.614,12.001,,,186,,,yes
61,Sweden,Europe,Europe,Europe,Hakan-5,unpublished,21,estimated from movements of GPS collared wolves,,4/25/04,,,60.316,13.644,,,176,,,yes
62,Sweden,Europe,Europe,Europe,Hakan-6,unpublished,21,estimated from movements of GPS collared wolves,,4/27/04,,,60.119,13.315,,,178,,,yes
63,Sweden,Europe,Europe,Europe,Hakan-7,unpublished,21,estimated from movements of GPS collared wolves,,5/20/04,,,61.756,10.922,,,201,,,yes
64,Sweden,Europe,Europe,Europe,Hakan-8,unpublished,21,estimated from movements of GPS collared wolves,,5/2/05,,,60.987,15.598,,,184,,,yes
65,Sweden,Europe,Europe,Europe,Hakan-9,unpublished,21,estimated from movements of GPS collared wolves,,4/28/05,,,59.576,14.033,,,180,,,yes
66,Sweden,Europe,Europe,Europe,Hakan-10,unpublished,21,estimated from movements of GPS collared wolves,,5/1/08,,,60.177,14.064,,,182,,,yes
67,Sweden,Europe,Europe,Europe,Hakan-11,unpublished,21,estimated from movements of GPS collared wolves,,5/1/09,,,60.201,14.101,,,183,,,yes
68,Sweden,Europe,Europe,Europe,Hakan-12,unpublished,21,estimated from movements of GPS collared wolves,,5/10/10,,,57.174,15.917,,,191,,,yes
69,Sweden,Europe,Europe,Europe,Hakan-13,unpublished,21,estimated from movements of GPS collared wolves,,4/26/09,,,61.371,13.096,,,178,,,yes
70,Sweden,Europe,Europe,Europe,Hakan-14,unpublished,21,estimated from movements of GPS collared wolves,,4/27/10,,,61.424,12.928,,,178,,,yes
71,Sweden,Europe,Europe,Europe,Hakan-15,unpublished,21,estimated from movements of GPS collared wolves,,5/5/09,,,61.572,16.078,,,187,,,yes
72,Sweden,Europe,Europe,Europe,Hakan-16,unpublished,21,estimated from movements of GPS collared wolves,,5/1/07,,,60.315,12.653,,,182,,,yes
73,Sweden,Europe,Europe,Europe,Hakan-17,unpublished,21,estimated from movements of GPS collared wolves,,4/27/09,,,59.955,15.233,,,179,,,yes
74,Sweden,Europe,Europe,Europe,Hakan-18,unpublished,21,estimated from movements of GPS collared wolves,,4/28/10,,,59.844,15.232,,,179,,,yes
75,Sweden,Europe,Europe,Europe,Hakan-19,unpublished,21,estimated from movements of GPS collared wolves,,4/27/10,,,59.536,14.438,,,178,,,yes
76,Sweden,Europe,Europe,Europe,Hakan-20,unpublished,21,estimated from movements of GPS collared wolves,,4/24/10,,,59.593,18.415,,,175,,,yes
77,Sweden,Europe,Europe,Europe,Hakan-21,unpublished,21,estimated from movements of GPS collared wolves,,5/8/11,,,60.529,12.454,,,189,,,yes
78,Sweden,Europe,Europe,Europe,Hakan-22,unpublished,21,estimated from movements of GPS collared wolves,,5/11/11,,,61.662,15.549,,,192,,,yes
79,Sweden,Europe,Europe,Europe,Hakan-23,unpublished,21,estimated from movements of GPS collared wolves,,5/6/09,,,61.533,11.644,,,188,,,yes
80,Sweden,Europe,Europe,Europe,Hakan-24,unpublished,21,estimated from movements of GPS collared wolves,,5/12/14,,,61.418,11.188,,,193,,,yes
81,Sweden,Europe,Europe,Europe,Hakan-25,unpublished,21,estimated from movements of GPS collared wolves,,4/24/17,,,61.584,11.42,,,176,,,yes
